,budget,genres,id,keywords,original_language,popularity,production_companies,production_countries,date,revenue,runtime,title,vote_average,vote_count,actor,director
0,237000000,Action|Adventure|Fantasy|Science Fiction,19995,culture clash|future|space war|space colony|society|space travel|futuristic|romance|space|alien|tribe|alien planet|cgi|marine|soldier|battle|love affair|anti war|power relations|mind and soul|3d,en,150.437577,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,United States of America|United Kingdom,2009-12-10,2787965087,162.0,Avatar,7.2,11800,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Wes Studi|Laz Alonso|Dileep Rao|Matt Gerald|Sean Anthony Moran|Jason Whyte|Scott Lawrence|Kelly Kilgour|James Patrick Pitt|Sean Patrick Murphy|Peter Dillon|Kevin Dorman|Kelson Henderson|David Van Horn|Jacob Tomuri|Michael Blain-Rozgay|Jon Curry|Luke Hawker|Woody Schultz|Peter Mensah|Sonia Yee|Jahnel Curfman|Ilram Choi|Kyla Warren|Lisa Roumain|Debra Wilson|Chris Mala|Taylor Kibby|Jodie Landau|Julie Lamm|Cullen B. Madden|Joseph Brady Madden|Frankie Torres|Austin Wilson|Sara Wilson|Tamica Washington-Miller|Lucy Briant|Nathan Meister|Gerry Blair|Matthew Chamberlain|Paul Yates|Wray Wilson|James Gaylyn|Melvin Leno Clark III|Carvon Futrell|Brandon Jelkes|Micah Moch|Hanniyah Muhammad|Christopher Nolen|Christa Oliver|April Marie Thomas|Bravita A. Threatt|Colin Bleasdale|Mike Bodnar|Matt Clayton|Nicole Dionne|Jamie Harrison|Allan Henry|Anthony Ingruber|Ashley Jeffery|Dean Knowsley|Joseph Mika-Hunt|Terry Notary|Kai Pantano|Logan Pithyou|Stuart Pollock|Raja|Gareth Ruck|Rhian Sheehan|T. J. Storm|Jodie Taylor|Alicia Vela-Bailey|Richard Whiteside|Nikie Zambo|Julene Renee,Gore Verbinski
1,300000000,Adventure|Fantasy|Action,285,ocean|drug abuse|exotic island|east india trading company|love of one's life|traitor|shipwreck|strong woman|ship|alliance|calypso|afterlife|fighter|pirate|swashbuckler|aftercreditsstinger,en,139.082615,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,United States of America,2007-05-19,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,Johnny Depp|Orlando Bloom|Keira Knightley|Stellan Skarsgård|Chow Yun-fat|Bill Nighy|Geoffrey Rush|Jack Davenport|Kevin McNally|Tom Hollander|Naomie Harris|Jonathan Pryce|Keith Richards|Lee Arenberg|Mackenzie Crook|Greg Ellis|David Bailie|Martin Klebba|David Schofield|Lauren Maher|Vanessa Branch|Angus Barnett|Giles New|Reggie Lee|Dominic Scott Kay|Takayo Fischer|David Meunier|Ho-Kwan Tse|Andy Beckwith|Peter Donald Badalamenti II|Christopher S. Capp|Keith Richards|Hakeem Kae-Kazim|Ghassan Massoud,John Lasseter
2,245000000,Action|Adventure|Crime,206647,spy|based on novel|secret agent|sequel|mi6|british secret service|united kingdom,en,107.37678799999999,Columbia Pictures|Danjaq|B24,United Kingdom|United States of America,2015-10-26,880674609,148.0,Spectre,6.3,4466,Daniel Craig|Christoph Waltz|Léa Seydoux|Ralph Fiennes|Monica Bellucci|Ben Whishaw|Naomie Harris|Dave Bautista|Andrew Scott|Rory Kinnear|Jesper Christensen|Alessandro Cremona|Stephanie Sigman|Tenoch Huerta|Adriana Paz|Domenico Fortunato|Marco Zingaro|Stefano Elfi DiClaudia|Ian Bonar|Tam Williams|Richard Banham|Pip Carter|Simon Lenagan|Alessandro Bressanello|Marc Zinga|Brigitte Millar|Adel Bencherif|Gediminas Adomaitis|Peppe Lanzetta|Francesco Arca|Matteo Taranto|Emilio Aniba|Benito Sagredo|Dai Tabuchi|George Lasha|Sargon Yelda|Andy Cheung|Erick Hayden|Oleg Mirochnikov|Antonio Salines|Miloud Mourad Benamara|Gido Schimanski|Nigel Barber|Patrice Naiambana|Stephane Cornicard|Gary Fannin|Sadao Ueda|Phillip Law|Wai Wong|Joseph Balderrama|Eiji Mihara|Junichi Kajioka|Victor Schefé|Harald Windisch|Tristan Matthiae|Detlef Bothe|Bodo Friesecke|Wilhem Iben|Noemi Krausz|Noah Saavedra|Francis Attakpah|Michael Glantschnig|Marlon Boess|Marie Wohlmuth|Lili Epply|Konstantin Gerlach|Lara Parmiani|Umit Ulgen|Amra Mallassi|Ziad Abaza|Walid Mumuni|Derek Horsham|Nari Blair-Mangat|Michael White|Adam McGrady|Nader Dernaika|Pezhmaan Alinia|Judi Dench|Neve Gachev|Karl Farrer|Kim Adis|Maurisa Selene Coleman|Matija Mondi Matović,James Wan
3,250000000,Action|Crime|Drama|Thriller,49026,dc comics|crime fighter|terrorist|secret identity|burglar|hostage drama|time bomb|gotham city|vigilante|cover-up|superhero|villainess|tragic hero|terrorism|destruction|catwoman|cat burglar|imax|flood|criminal underworld|batman,en,112.31295,Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy,United States of America,2012-07-16,1084939099,165.0,The Dark Knight Rises,7.6,9106,Christian Bale|Michael Caine|Gary Oldman|Anne Hathaway|Tom Hardy|Marion Cotillard|Joseph Gordon-Levitt|Morgan Freeman|Cillian Murphy|Juno Temple|Liam Neeson|Matthew Modine|Alon Aboutboul|Ben Mendelsohn|Nestor Carbonell|Josh Pence|Tom Conti|Joey King|Warren Brown|Daniel Sunjata|Sam Kennard|Aliash Tepina|Nick Julian|Miranda Nolan|Claire Julien|Aidan Gillen|Burn Gorman|Brett Cullen|Reggie Lee|Joseph Lyle Taylor|Chris Ellis|Duane Henry|James Harvey Ward|Gonzalo Menendez|Cameron Jack|Lex Daniel|Tyler Dean Flores|Thomas Lennon|Trevor White|Rob Brown|Fredric Lehne|Courtney Munch|Chris Hill|Travis Guba|Jay Benedict|Will Estes|David Dayan Fisher|Glen Powell|Russ Fega|Andres Perez-Molina|Brent Briscoe|John Nolan|Oliver Cotton|Mark Killeen|Sarah Goldberg|John MacMillan|Robert Wisdom|Ronnie Gene Blevins|John Hollingworth|Ian Bohen|Uri Gavriel|Noel Gugliemi|Hector Atreyu Ruiz|Patrick Cox|Aramis Knight|Josh Stewart|William Devane|David Gyasi|Patrick Jordan|Joshua Elijah Reese|Desmond Harrington|Mychael Bates|Tomas Arana|Peter Holden|David Monahan|Jillian Armenante|Aja Evans|Aldous Davidson|Wade Williams|Jake Canuso|Massi Furlan|Christopher Judge|Patrick Leahy|Todd Gearhart|Marc Abbink|Isiah Adams|Charlie Alejandro|Robert Arensen|Grant Babbitt|Fileena Bahris|Rick Bolander|Kyle Patrick Brennan|Scott Churchson|Bill Cowher|Graham Curry|Stephanie Domini Ehlert|John Farrer|Frank Fata|Christopher Bryan Gomez|Vito Grassi|Michael Wren Gucciardo|Sam Harris|Ed Heavey|John W. Iwanonkiw|Cindy Jackson|Daniel Jordano|William Kania|Tiffany Kemp|Sun Jae Kim|Hrvoje Klecz|Alex Kruz|Tyler La Marr|LeJon|Paul Jude Letersky|Joe Lipari|Silvia Lombardo|Jorge Mardel|Cale McConnell|David Dale McCue|Tiffany Sander McKenzie|Allen Merritt|Olan Montgomery|Alex Moore|Shane Nolan|Jackson Nunn|Joseph O'Brien|Michael Papajohn|Salomon Passariello|Kyle David Pierce|Troy Polamalu|Michael Power|James Rawlings|Kirsten Roeters|Ben Roethlisberger|Mark Roman|Anthony J. Sacco|Eric Salazar|Emily Schooley|Thomas Tull|Chris Vaina|Vincent van Ommen|Michelle Vezzani|Barbara Vincent|Justin Michael Woods|Jason Yee|Maria Zambrana|John Zion|Alex Ziwak|Tommy Bayiokos|Matthew Gooley|Jeff Moffitt|Mark Falvo|Diogo Hausen|Gary Sievers|Orion McCabe|London May|James Quinn|Daniel Newman,Guillermo del Toro
4,260000000,Action|Adventure|Science Fiction,49529,based on novel|mars|medallion|space travel|princess|alien|steampunk|martian|escape|edgar rice burroughs|alien race|superhuman strength|mars civilization|sword and planet|19th century|3d,en,43.926995,Walt Disney Pictures,United States of America,2012-03-07,284139100,132.0,John Carter,6.1,2124,Taylor Kitsch|Lynn Collins|Samantha Morton|Willem Dafoe|Thomas Haden Church|Mark Strong|Ciarán Hinds|Dominic West|James Purefoy|Bryan Cranston|Polly Walker|Daryl Sabara|Arkie Reece|Davood Ghadami|Pippa Nixon|James Embree|Philip Philmar|Emily Tierney|Edmund Kente|Nicholas Woodeson|Kyle Agnew|Don Stark|Josh Daugherty|Jared Cyr|Christopher Goodman|Amanda Clayton|Joseph Billingiere,Conrad Vernon
5,258000000,Fantasy|Action|Adventure,559,dual identity|amnesia|sandstorm|love of one's life|forgiveness|spider|wretch|death of a friend|egomania|sand|narcism|hostility|marvel comic|sequel|superhero|revenge,en,115.69981399999999,Columbia Pictures|Laura Ziskin Productions|Marvel Enterprises,United States of America,2007-05-01,890871626,139.0,Spider-Man 3,5.9,3576,Tobey Maguire|Kirsten Dunst|James Franco|Thomas Haden Church|Topher Grace|Bryce Dallas Howard|Rosemary Harris|James Cromwell|J.K. Simmons|Theresa Russell|Dylan Baker|Bill Nunn|Elizabeth Banks|Ted Raimi|Perla Haney-Jardine|Willem Dafoe|Cliff Robertson|Elya Baskin|Mageina Tovah|Michael Papajohn|Joe Manganiello|Stan Lee|Bruce Campbell|Christopher Young|Grant Curtis|Daniel Gillies|John Paxton|Becky Ann Baker|Steve Valentine|Hal Fishman|Lucy Gordon|Toni Wynne|Andre B. Blake|Tim Maculan|Marc Vann|Joe Bays|Gregg Daniel|Rogelio T. Ramos|Timothy Patrick Quill|Kathryn Bryding|Joe Virzi|Bill E. Rogers|Michael Alexander|April Parker-Jones|Edward Padilla|Robert Curtis Brown|Paul Terrell Clayton|Carolyn Neff|Christina Cindrich|Sonya Maddox|Derrick 'Phoenix' Thomas|Jessi Collins|Michael McLaughlin|Anne Gartlan|Emilio Rivera|Keith Woulard|Reynaldo Gallegos|Jim Coope|Dean Edwards|Margaret Laney|Aimee Miles|Tanya Bond|Mark Kubr|Tony Besson|Ramon Adams|A.J. Adelman|Angelis Alexandris|Dawn Marie Anderson|Frank Anello|Anya Avaeva|David Backus|Tiffany L. Baker|Marc C. Cancassi|Sujeilee Candele|Michael Ciesla|Irina Costa|John Crann|Crystal Marie Denha|Amy V. Dewhurst|Paul Edney|Natalie Fabry|Keith Fausnaught|Amanda Florian|Brianna Leann Florian|Tiffany Ashley Florian|Shaun Patrick Flynn|Logan Fry|Kevin Fung|Tony Galtieri|Chuck Gerena|Brian Hopson|Claude Jay|Julie Jei|Andrew James Jones|Natalie Jones|Christopher Jude|Brittany Krall|Alyssa Lakota|Tia Latrell|Linda Lee|Pierangeli Llinas|Bernadette Lords|Sandrine Marlier|Laura McDavid|Natalie McNeil|Daniel Mignault|Martha Millan|Michele-Nanette Miller|Claudia Katz Minnick|Robert Myers|Joseph O'Brien|Jen Oda|Anjelia Pelay|Nick Poltoranin|Vanessa Reseland|La Rivers|Bria Roberts|Luis Rosa|Vanessa Ross|Brenna Roth|Shade Rupe|Arick Salmea|Eric Shackelford|Daniel Shafer|Abbey Skinner|Kristin Somo|Jennifer Sparks|Christopher Stadulis|Jimmy Star|Arne Starr|Liam Stone|Tajna Tanovic|Aija Terauda|Brigid Turner|Evelyn Vaccaro|Nick Vlassopoulos|Sincerely A. Ward|Silq Webster|Graig F. Weich|Fredrick Weiss|Jennifer Weston|Trenton Willey|Ray Wineteer,Jon Turteltaub
6,260000000,Animation|Family,38757,hostage|magic|horse|fairy tale|musical|princess|animation|tower|blonde woman|selfishness|healing power|based on fairy tale|duringcreditsstinger|healing gift|animal sidekick,en,48.681969,Walt Disney Pictures|Walt Disney Animation Studios,United States of America,2010-11-24,591794936,100.0,Tangled,7.4,3330,Zachary Levi|Mandy Moore|Donna Murphy|Ron Perlman|M.C. Gainey|Jeffrey Tambor|Brad Garrett|Paul F. Tompkins|Richard Kiel|Delaney Rose Stein|Nathan Greno|Byron Howard|Tim Mertens,Tim Burton
7,280000000,Action|Adventure|Science Fiction,99861,marvel comic|sequel|superhero|based on comic book|vision|superhero team|duringcreditsstinger|marvel cinematic universe|3d,en,134.27922900000002,Marvel Studios|Prime Focus|Revolution Sun Studios,United States of America,2015-04-22,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson|Jeremy Renner|James Spader|Samuel L. Jackson|Don Cheadle|Aaron Taylor-Johnson|Elizabeth Olsen|Paul Bettany|Cobie Smulders|Anthony Mackie|Hayley Atwell|Idris Elba|Linda Cardellini|Stellan Skarsgård|Claudia Kim|Thomas Kretschmann|Andy Serkis|Julie Delpy|Stan Lee|Henry Goodman|Chris Luca|Brian Schaeffer|Dominique Provost-Chalkley|Isaac Andrews|Gareth Kieran Jones|Chan Woo Lim|Minhee Yeo|Bentley Kalu|Julian Bleach|Christopher Beasley|Vuyo Dabula|Nondumiso Tembe|Kabelo Thai|Lele Leowaba|Mandla Gaduka|Harriet Manamela|Beulah Hashe|Musca Kumalo|Mathapelo September|Antony Acheampong|Chioma Anyanwu|Ben Sakamoto|Imogen Poynton|Isabella Poynton|Ingvild Deila|Sunny Yeo|Namju Go|Mina Kweon|Earl T. Kim|Arthur Lee|Verity Hewlett|Michael Matovski|Alma Noce|Riccardo Richetta|Constanza Ruff|Monty Mclaren-Clark|Julia Krynke|Tony Christensen|Ian Kay|Barry Aird|Aaron Himelstein|Kerry Condon|Jaiden Stafford|Dilyana Bouklieva|Josh Brolin|Joti Nagra|Nick W. Nicholson|Daniel Westwood,Eric Darnell
8,250000000,Adventure|Fantasy|Family,767,witch|magic|broom|school of witchcraft|wizardry|apparition|teenage crush|werewolf,en,98.885637,Warner Bros.|Heyday Films,United Kingdom|United States of America,2009-07-07,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,Daniel Radcliffe|Rupert Grint|Emma Watson|Tom Felton|Michael Gambon|Jim Broadbent|Helena Bonham Carter|Robbie Coltrane|Maggie Smith|Alan Rickman|Timothy Spall|David Thewlis|Julie Walters|Matthew Lewis|Evanna Lynch|Bonnie Wright|Oliver Phelps|James Phelps|Mark Williams|Warwick Davis|Natalia Tena|Katie Leung|Dave Legeno|Geraldine Somerville|Helen McCrory|Freddie Stroma|David Bradley|Frank Dillane|Hero Fiennes-Tiffin|Gemma Jones|Afshan Azad|Shefali Chowdhury|Georgina Leonidas|Devon Murray|Anna Shaffer|Josh Herdman|Jamie Waylett|Scarlett Byrne|Jessie Cave|Louis Cordice|Alfie Enoch|Robert Knox|William Melling|Paul Ritter|Isabella Laughland|Ralph Ineson|Suzanne Toase|Rod Hunt|Elarica Gallacher,Rob Minkoff
9,250000000,Action|Adventure|Fantasy,209112,dc comics|vigilante|superhero|based on comic book|revenge|super powers|clark kent|bruce wayne|dc extended universe,en,155.790452,DC Comics|Atlas Entertainment|Warner Bros.|DC Entertainment|Cruel & Unusual Films|RatPac-Dune Entertainment,United States of America,2016-03-23,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,Ben Affleck|Henry Cavill|Gal Gadot|Amy Adams|Jesse Eisenberg|Diane Lane|Jeremy Irons|Laurence Fishburne|Holly Hunter|Scoot McNairy|Callan Mulvey|Tao Okamoto|Jena Malone|Brandon Spink|Lauren Cohan|Hugh Maguire|Michael Cassidy|Alan D. Purwin|Dan Amboyer|Rebecca Buller|Harry Lennix|Christina Wren|Jade Chynoweth|Chad Krowchuk|Kevin Costner|Ezra Miller|Patrick Wilson|Michael Shannon|Charlie Rose|Vikram Gandhi|Andrew Sullivan|Neil deGrasse Tyson|Jon Stewart|Soledad O'Brien|Erika R. Erickson|Dana Bash|Nancy Grace|Anderson Cooper|Brooke Baldwin|Carla Gugino|Jason Momoa|Joe Morton|Ray Fisher|Joseph Cranford|Emily Peterson|Jeffrey Dean Morgan|Sammi Rotibi|Hanna Dworkin|Tiffany L. Addison|Owais Ahmed|Anish Jethmalani|Tiffany Bedwell|Natalee Arteaga|Keith D. Gallagher|Jeff Dumas|Miriam Lee|Alicia Regan|Stephanie Koenig|Ripley Sobo|Richard Burden|Julius Tennon|Wunmi Mosaku|Dennis North|Kiff VandenHeuvel|Mason Heidger|Ahney Her|Kristine Cabanban|Sebastian Sozzi|Kent Shocknek|Ralph Lister|Sammy A. Publes|Jay R. Adams|David Midura|Jay Towers|Michael Ellison|Kirill Ostapenko|Rashontae Wawrzyniak|Tom Luginbill|Dave Pasch|Danny Mooney |Henry Frost III|Nicole Forester|Debbie Stabenow|Milica Govich |John Lepard|Sandra Love Aldridge|Graham W.J. Beal|Henri Franklin|Jonathan West|T.J. Martinelli|Chris Newman|Lulu Dahl|Sam Logan Khaleghi|Anne Marie Damman|Connie Craig|Henrietta Hermelin|Patrick Leahy|Albert Valladares|David Paris|Abigail Kuklis|Greg Violand|Tiren Jhames|Steve Jasgur|Jonathan Stanley|Jesse Nagy|Duvale Murchison|Thomas J. Fentress|Coburn Goss|Jeff Hanlin|Gary A. Hecker|Robin Atkin Downes|Issac Ryan Brown|Barton Bund|Bailey Chase|Patrick O'Connor Cronin|Sonja Crosby|C.T. Fletcher|Ahman Green|Diana Gaitirira|Jalene Mack|Esodie Geiger|Nene Nwoko|Scott Edward Logan|Marcus Goddard|Cruz Gonzalez-Cadel|Alma Martinez|Sal Lopez|Marcel Shihadeh|Theo Bongani Ndyalvane|Satori Shakoor|Ele Bardha|Inder Kumar|Brandon Bautista|Laura Atwood|Debbie Scaletta|David Leach|Gordon Michaels|Brian Boland|Taras Los|Jason Hughley|Sidi Henderson|Meighan Gerachis|Nicole Santini|Axel Harney|Wayne E. Brown|Dante Briggins|Shannon Garnett|Lynch R. Travis|Carmen Gangale|Joe Cipriano|Will Blagrove|Marcelo Bem,Gore Verbinski
10,270000000,Adventure|Fantasy|Action|Science Fiction,1452,saving the world|dc comics|invulnerability|sequel|superhero|based on comic book|kryptonite|super powers|superhuman strength|lex luthor,en,57.925623,DC Comics|Legendary Pictures|Warner Bros.|Bad Hat Harry Productions,United States of America,2006-06-28,391081192,154.0,Superman Returns,5.4,1400,Brandon Routh|Kevin Spacey|Kate Bosworth|James Marsden|Parker Posey|Frank Langella|Sam Huntington|Eva Marie Saint|Marlon Brando|Kal Penn|Tristan Lake Leabu|David Fabrizio|Ian Roberts|Vincent Stone|Jack Larson|Noel Neill|Keegan Joyce|Jordana Beatty,Eric Darnell
11,200000000,Adventure|Action|Thriller|Crime,10764,killing|undercover|secret agent|british secret service,en,107.92881100000001,Eon Productions,United Kingdom|United States of America,2008-10-30,586090727,106.0,Quantum of Solace,6.1,2965,Daniel Craig|Olga Kurylenko|Mathieu Amalric|Judi Dench|Giancarlo Giannini|Gemma Arterton|Jeffrey Wright|David Harbour|Jesper Christensen|Anatole Taubman|Rory Kinnear|Tim Pigott-Smith|Joaquín Cosio|Glenn Foster|Paul Ritter|Stana Katic|Lucrezia Lante della Rovere|Neil Jackson|Oona Chaplin|Rachel McDowall|Gustavo Nanez|Mark Wakeling|Sarah Hadland|David Decio|Aaron King|Alexandra Prusa|Brandon Jovanovich|Alexandre Krawetz|Fernando Guillén Cuervo|Jesús Ochoa|Simon Kassianides|Brendan O'Hea,John McTiernan
12,200000000,Adventure|Fantasy|Action,58,witch|fortune teller|bondage|exotic island|monster|captain|card game|east india trading company|compass|ship|daughter|pirate|swashbuckler|aftercreditsstinger,en,145.84737900000002,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,Jamaica|United States of America|Bahamas|Dominica,2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Johnny Depp|Orlando Bloom|Keira Knightley|Stellan Skarsgård|Bill Nighy|Jack Davenport|Kevin McNally|Jonathan Pryce|Lee Arenberg|Mackenzie Crook|Tom Hollander|Naomie Harris|David Bailie|Martin Klebba|David Schofield|Alex Norton|Geoffrey Rush|Dermot Keaney|Andy Beckwith|Clive Ashborn|Reggie Lee|Christopher Adamson|Jonathan Linsley|John Boswall|Max Baker|Steve Speirs|Lauren Maher|Vanessa Branch|Luke de Woolfson|Jonathan Kite|Ho-Kwan Tse|Peter Donald Badalamenti II|Christopher S. Capp,James L. Brooks
