,产品ID,产品名称,产品子分类,产品分类,产品分类ID
0,743,山地自行车,山地自行车,自行车,1
1,745,山地自行车车架,山地自行车车架,配件,3
2,709,公路自行车,公路自行车,自行车,1
3,731,帽子,帽子,服装,2
4,759,长袖运动衫,运动衫,服装,2
5,758,运动头盔,头盔,辅助用品,4
6,711,公路自行车车架,公路自行车车架,配件,3
7,752,山地自行车袜子,袜子,服装,2
8,750,山地自行车前轮,车轮,配件,3
9,744,山地自行车车把,车把,配件,3
10,748,山地自行车后轮,车轮,配件,3
11,734,男士运动短裤,短裤,服装,2
12,735,女士紧身衣,紧身衣,服装,2
13,733,男士背带短裤,背带短裤,服装,2
14,756,夏用手套,手套,服装,2
15,705,冬用手套,手套,服装,2
16,732,迷你气筒,打气筒,辅助用品,4
17,713,公路自行车后轮,车轮,配件,3
18,715,公路自行车前轮,车轮,配件,3
19,710,公路自行车车把,车把,配件,3
20,708,耳机,耳机,配件,3
21,757,线缆锁,车锁,辅助用品,4
22,740,前叉,前叉,配件,3
23,749,山地自行车脚踏板,脚踏板,配件,3
24,706,短袖经典运动衫,运动衫,服装,2
25,721,经典背心,背心,服装,2
26,738,骑行包,骑行包,辅助用品,4
27,742,清洗剂,清洗剂,辅助用品,4
28,702,车顶固定架,货架,辅助用品,4
29,755,水壶,水壶架,辅助用品,4
30,736,女士山地短裤,短裤,服装,2
31,746,山地自行车车座,车座,配件,3
32,724,旅游自行车,旅游自行车,自行车,1
33,741,前刹车,刹车,配件,3
34,739,前变速器,变速器,配件,3
35,723,链条,链条,配件,3
36,727,旅游自行车车座,车座,配件,3
37,719,后变速器,变速器,配件,3
38,726,旅游自行车车架,旅游自行车车架,配件,3
39,703,大齿盘,大齿盘,配件,3
40,720,后刹车,刹车,配件,3
41,725,旅游自行车车把,车把,配件,3
42,704,底托架,中轴,配件,3
43,714,公路自行车脚踏板,脚踏板,配件,3
44,722,竞速袜,袜子,服装,2
45,737,女士山地自行车短裤,短裤,服装,2
46,701,补胎套件,内外胎,辅助用品,4
47,712,公路自行车车座,车座,配件,3
48,728,旅游自行车脚踏板,脚踏板,配件,3
49,716,公路自行车水壶架,水壶架,辅助用品,4
50,751,山地自行车水壶架,水壶架,辅助用品,4
51,717,公路自行车外胎,内外胎,辅助用品,4
52,718,公路自行车外胎内胎,内外胎,辅助用品,4
53,707,多用途支架,支架,辅助用品,4
54,753,山地自行车外胎,内外胎,辅助用品,4
55,754,山地自行车外胎内胎,内外胎,辅助用品,4
56,729,旅游自行车外胎,内外胎,辅助用品,4
57,730,旅游自行车外胎内胎,内外胎,辅助用品,4
58,747,山地自行车挡泥板,挡泥板,辅助用品,4
